Order ID,Order Item ID,Status ID,Product ID,Price
200119123,278494,2,200397,"3,500,000"
200119124,278495,1,194081,"750,000"
200119125,278496,2,176474,"300,000"
200119125,278497,2,198436,"130,000"
200119125,278498,2,198904,"180,000"
200119126,278499,1,179769,"540,000"
200119127,278500,1,200700,"185,000"
200119128,278501,2,193888,"375,000"
200119128,278502,2,193991,"525,000"
200119129,278503,1,200040,"750,000"
200119130,278504,1,178465,"560,000"
200119130,278505,1,198854,"145,000"
200119130,278506,1,198955,"155,000"
200119130,278507,1,200038,"300,000"
200119130,278508,1,200939,"135,000"
200119130,278509,1,200997,"120,000"
200119131,278510,2,200923,"450,000"
200119132,278511,2,188034,"125,000"
200119133,278512,2,200519,"450,000"
200119134,278513,3,199293,"1,250,000"
200119135,278514,2,199294,"1,175,000"
200119136,278515,1,195520,"105,000"
200119136,278516,1,199107,"180,000"
200119136,278517,1,184073,"80,000"
200119136,278518,1,174737,"90,000"
200119136,278519,1,174799,"60,000"
200119136,278520,1,174738,"60,000"
200119136,278521,1,174800,"72,500"
200119136,278522,1,175832,"72,500"
200119137,278523,1,188828,"350,000"
200119138,278524,1,194081,"750,000"
200119139,278525,2,200170,"175,000"
200119140,278526,2,186932,"1,840,000"
200119141,278527,2,189636,"119,000"
200119141,278528,2,175990,"65,000"
200119142,278529,2,200174,"130,000"
200119143,278530,2,200547,"225,000"
200119143,278531,2,199132,"130,000"
200119143,278532,2,199642,"175,000"
200119144,278533,2,192971,"200,000"
200119144,278534,2,200700,"185,000"
200119144,278535,2,174817,"82,500"
200119145,278536,1,178465,"560,000"
200119145,278537,1,198854,"145,000"
200119145,278538,1,198955,"155,000"
200119145,278539,1,200038,"300,000"
200119145,278540,1,200040,"750,000"
200119145,278541,1,200939,"135,000"
200119145,278542,1,200997,"120,000"
200119146,278543,2,188398,"117,000"
200119146,278544,2,200458,"115,000"
200119146,278545,2,199679,"130,000"
200119146,278546,2,199090,"100,000"
200119146,278547,2,199079,"100,000"
200119146,278548,2,199047,"150,000"
200119148,278553,2,182201,"1,150,000"
200119148,278554,2,178317,"750,000"
200119148,278555,2,186410,"750,000"
200119148,278556,2,180415,"1,190,000"
200119148,278557,2,180242,"1,890,000"
200119149,278558,2,186458,"110,500"
200119149,278559,2,187133,"135,000"
200119149,278560,2,194818,"153,000"
200119150,278561,2,183607,"60,000"
200119150,278562,2,198419,"145,000"
200119151,278563,2,193112,"1,800,000"
200119152,278564,2,190284,"130,000"
200119153,278565,1,189987,"1,980,000"
200119154,278566,2,200186,"300,000"
200119154,278567,2,199638,"300,000"
200119154,278568,2,196442,"270,000"
200119155,278569,2,196692,"130,000"
200119155,278570,2,181015,"120,000"
200119156,278571,2,178071,"135,000"
200119156,278572,2,186748,"100,000"
200119157,278573,1,184203,"1,500,000"
200119158,278574,2,200608,"275,000"
200119158,278575,2,188828,"350,000"
200119159,278576,1,194218,"1,170,000"
200119160,278577,1,182517,"195,000"
200119160,278578,1,194264,"350,000"
200119160,278579,1,187545,"270,000"
200119161,278580,1,186411,"750,000"
200119161,278581,1,182495,"910,000"
200119162,278582,1,199185,"130,000"
200119162,278583,1,183559,"97,500"
200119162,278584,1,195520,"105,000"
200119162,278585,1,199107,"180,000"
200119162,278586,1,174799,"60,000"
200119162,278587,1,174738,"60,000"
200119162,278588,1,174737,"90,000"
200119162,278589,1,175832,"72,500"
200119164,278592,1,177868,"60,000"
200119164,278593,1,172514,"62,500"
200119164,278594,1,179392,"60,000"
200119164,278595,1,178289,"60,000"
200119164,278596,1,171901,"80,000"
200119164,278597,1,186360,"60,000"
200119164,278598,1,195550,"117,000"
200119165,278599,1,194081,"750,000"
200119166,278600,2,187268,"112,000"
200119167,278601,1,186240,"67,500"
200119168,278602,1,177281,"250,000"
200119168,278603,1,188493,"280,000"
200119168,278604,1,198328,"350,000"
200119169,278605,2,200609,"475,000"
200119170,278606,1,198084,"140,000"
200119171,278607,1,189675,"150,000"
200119172,278608,2,192489,"126,000"
200119172,278609,2,193877,"360,000"
200119173,278610,1,200040,"750,000"
200119174,278611,1,178465,"560,000"
200119174,278612,1,200939,"135,000"
200119174,278613,1,200997,"120,000"
200119175,278614,1,194077,"290,000"
200119175,278615,1,198854,"145,000"
200119175,278616,1,198472,"350,000"
200119176,278617,2,200809,"100,000"
200119176,278618,2,187926,"140,000"
200119176,278619,2,183407,"60,000"
200119177,278620,1,184638,"225,000"
200119177,278621,1,198955,"155,000"
200119177,278622,1,186280,"70,000"
200119178,278623,2,199944,"200,000"
200119178,278624,2,197105,"225,000"
200119178,278625,2,195414,"117,000"
200119179,278626,2,190029,"90,000"
200119179,278627,2,191106,"700,000"
200119180,278628,1,197160,"800,000"
200119181,278629,2,199958,"170,000"
200119181,278630,2,193154,"315,000"
200119181,278631,2,200658,"125,000"
