product_id,gender,Brand ID,Main_category,category,subcategory,Price
52074,female,3196,pakaian,outerwear,blazer,"150,000"
52091,female,454,pakaian,dress,midi-dress,"149,000"
84916,female,1289,make-up-and-skin-care,lips,lips,"70,000"
97006,female,1562,sepatu,heels,heels,"2,900,000"
97008,female,4337,sepatu,heels,heels,"2,400,000"
97540,female,1067,aksesoris,dompet,dompet,"1,472,727"
101424,female,3177,tas,tote-bag,tote-bag,"7,603,200"
104532,female,367,sepatu,heels,heels,"3,080,000"
107212,female,1639,tas,satchel,satchel,"22,575,000"
114460,female,845,tas,satchel,satchel,"2,127,272"
119028,female,2287,tas,handbag,handbag,"5,940,000"
122442,female,1334,tas,shoulder-bag,shoulder-bag,"4,235,000"
131790,female,411,pakaian,bawahan,celana,"175,000"
131817,female,2113,pakaian,bawahan,celana,"165,000"
131833,female,2305,pakaian,dress,mini-dress,"175,000"
131834,female,411,pakaian,atasan,blouse,"135,000"
131847,female,3899,pakaian,atasan,blouse,"145,000"
131870,female,2305,pakaian,atasan,sleeveless,"145,000"
131873,female,3589,pakaian,dress,mini-dress,"165,000"
131887,female,4350,pakaian,outerwear,vest,"185,000"
131905,female,4350,pakaian,atasan,blouse,"165,000"
131945,female,3517,pakaian,dress,midi-dress,"200,000"
131954,female,2416,pakaian,dress,mini-dress,"250,000"
131988,female,3991,pakaian,outerwear,wrap-and-kimono,"175,000"
132000,female,4350,pakaian,bawahan,celana,"220,000"
132004,female,814,pakaian,atasan,blouse,"145,000"
132035,female,308,pakaian,atasan,blouse,"165,000"
132055,female,499,pakaian,jumpsuit-two-pieces,jumpsuit,"205,000"
132056,female,449,pakaian,atasan,sleeveless,"185,000"
132070,female,1080,pakaian,dress,midi-dress,"405,000"
132329,female,734,tas,tote-bag,tote-bag,"13,650,000"
140765,female,4350,pakaian,bawahan,celana,"220,000"
146038,female,4037,aksesoris,perhiasan,perhiasan,"1,436,500"
147158,female,4540,pakaian,jumpsuit-two-pieces,jumpsuit,"373,150"
149788,female,1573,pakaian,atasan,blouse,"140,000"
149798,female,756,pakaian,atasan,blouse,"140,000"
150709,female,1440,tas,satchel,satchel,"2,160,000"
152516,female,4350,pakaian,atasan,blouse,"120,000"
152522,female,2458,pakaian,outerwear,blazer,"250,000"
152527,female,2569,pakaian,outerwear,wrap-and-kimono,"600,000"
152531,female,907,pakaian,bawahan,celana,"180,000"
165822,female,2600,pakaian,dress,mini-dress,"140,000"
165845,female,4350,pakaian,jumpsuit-two-pieces,jumpsuit,"200,000"
165921,female,4337,sepatu,heels,heels,"1,200,000"
165948,female,363,tas,satchel,satchel,"12,600,000"
167097,female,4082,pakaian,dress,mini-dress,"105,000"
167106,female,2721,pakaian,atasan,blouse,"65,000"
167264,female,2119,pakaian,atasan,kaos,"300,000"
167513,female,923,pakaian,atasan,blouse,"70,000"
167987,female,3251,pakaian,atasan,blouse,"200,000"
168139,female,3196,pakaian,swimsuit,two-piece,"150,000"
168698,female,3196,pakaian,outerwear,wrap-and-kimono,"140,000"
168717,female,3290,pakaian,atasan,blouse,"130,000"
168769,female,976,pakaian,atasan,kemeja,"165,000"
168771,female,1723,pakaian,atasan,blouse,"145,000"
168830,female,1111,pakaian,atasan,blouse,"150,000"
168916,female,1401,pakaian,atasan,sleeveless,"60,000"
169039,female,3974,pakaian,atasan,sleeveless,"60,000"
169076,female,3560,make-up-and-skin-care,skin-care,skin-care,"60,000"
169077,female,3560,make-up-and-skin-care,skin-care,skin-care,"60,000"
169078,female,3560,make-up-and-skin-care,skin-care,skin-care,"60,000"
169858,female,2416,pakaian,atasan,sweater,"110,000"
169911,female,1266,pakaian,dress,mini-dress,"130,000"
169955,female,2583,pakaian,atasan,blouse,"120,000"
170040,female,734,tas,sling-bag,sling-bag,"18,000,000"
170366,female,1536,make-up-and-skin-care,skin-care,skin-care,"180,000"
170367,female,1428,make-up-and-skin-care,skin-care,skin-care,"100,000"
170440,female,1400,pakaian,bawahan,rok,"65,000"
170477,female,1573,pakaian,atasan,blouse,"60,000"
170717,female,4350,pakaian,bawahan,rok,"60,000"
170731,female,4350,pakaian,atasan,sleeveless,"60,000"
170740,female,1400,pakaian,atasan,sleeveless,"60,000"
