product_id,product_title,product_category,price,retail_price,units_sold,sales_revenue,retail_revenue,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,rating_five_perc,rating_four_perc,rating_three_perc,rating_two_perc,rating_one_perc,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_rating_count,merchant_rating,merchant_id
5e9ae51d43d6a96e303acdb0,2020 Summer Vintage Flamingo Print  Pajamas Set Casual Loose T Shirt Top And Elastic Shorts Women Sleepwear Night Wear Loungewear Sets,Shirts,16.0,14,100,1600.0,1400,0,3.76,54,26.0,8.0,10.0,1.0,9.0,48.15,14.81,18.52,1.85,16.67,0,0,0,0,white,M,50,Livraison standard,4,0,34,50,1.0,Quantité limitée !,CN,zgrdejia,568,4.128521126760563,595097d6a26f6e070cb878d1
58940d436a0d3d5da4e95a38,Women's Casual Summer Sleeveless Sexy Mini Dress,Dress,8.0,22,20000,160000.0,440000,1,3.45,6135,2269.0,1027.0,1118.0,644.0,1077.0,36.98,16.74,18.22,10.5,17.56,0,0,0,0,green,XS,50,Livraison standard,2,0,41,50,1.0,Quantité limitée !,CN,SaraHouse,17752,3.8996732762505633,56458aa03a698c35c9050988
5ea10e2c617580260d55310a,2020 New Arrival Women Spring and Summer Beach Wear Long Thin Cardigan Open Front Kimono Green Leaf Printed Chiffon Cardigan S-5XL,Swim and Beach Wear,8.0,43,100,800.0,4300,0,3.57,14,5.0,4.0,2.0,0.0,3.0,35.71,28.57,14.29,0.0,21.43,0,0,0,0,leopardprint,XS,1,Livraison standard,3,0,36,50,1.0,Quantité limitée !,CN,hxt520,295,3.989830508474576,5d464a1ffdf7bc44ee933c65
5cedf17ad1d44c52c59e4aca,Hot Summer Cool T Shirt for Women Fashion Tops Bee Printed Letters Short Sleeve O Neck Cotton T-shirts Tops Tee Clothing,Shirts,8.0,8,5000,40000.0,40000,1,4.03,579,295.0,119.0,87.0,42.0,36.0,50.95,20.55,15.03,7.25,6.22,0,0,0,0,black,M,50,Livraison standard,2,0,41,50,0.0,N/A,CN,allenfan,23832,4.020434709634105,58cfdefdacb37b556efdff7c
5ebf5819ebac372b070b0e70,Women Summer Shorts Lace Up Elastic Waistband Loose Thin Casual Pants Plus Size S-8XL,Pants,2.72,3,100,272.0,300,1,3.1,20,6.0,4.0,2.0,2.0,6.0,30.0,20.0,10.0,10.0,30.0,0,0,0,0,yellow,S,1,Livraison standard,1,0,35,50,1.0,Quantité limitée !,CN,youngpeopleshop,14482,4.001588178428394,5ab3b592c3911a095ad5dadb
5ec645bafd107a02279c8c54,Plus Size Summer Women Casual Sleeveless Rompers Jumpsuits Solid Color Suspender Ttrousers Loose Overalls,Dress,3.92,9,10,39.2,90,0,5.0,1,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0,0,navyblue,Size-XS,1,Livraison standard,1,0,40,50,0.0,N/A,CN,zhoulinglinga,65,3.507692307692308,5e4b9c3801ba9d210036fc5a
5c63a337d5e2ce4bbb3152cf,Women Fashion Loose Lace Blouse V Neck Bat Sleeves T Shirt Hollow Out Tops Plus Size XS-8XL,Shirts,7.0,6,50000,350000.0,300000,0,3.84,6742,3172.0,1352.0,971.0,490.0,757.0,47.05,20.05,14.4,7.27,11.23,0,0,0,0,white,XS,50,Livraison standard,2,0,31,50,0.0,N/A,CN,Unique Li Fashion Shop,10194,4.076515597410241,5652f4053a698c76dc9a3f37
5e0ae5ebc2efb76ccf0a3391,Women's Baggy Tunic Dress Summer Dress Denim Dress Denim Shirt Dress Shift Dress,Dress,12.0,11,1000,12000.0,11000,0,3.76,286,120.0,56.0,61.0,18.0,31.0,41.96,19.58,21.33,6.29,10.84,0,0,0,0,blue,M.,50,Livraison standard,3,0,139,50,0.0,N/A,CN,So Band,342,3.681286549707602,5d45349676befe65691dcfbb
5e6f1fb7fe4a5bb4b8bf36e5,Women's Summer Casual Dress Fashion Short Sleeve Slim Dress,Dress,11.0,84,100,1100.0,8400,1,3.47,15,6.0,2.0,3.0,1.0,3.0,40.0,13.33,20.0,6.67,20.0,0,0,0,0,black,M,50,Livraison standard,2,0,36,50,1.0,Quantité limitée !,CN,chenxiangjunjun,330,3.803030303030303,5d42980e8388970d32294ddc
5ccfaf238a8d535cec2dfb47,Summer Women Plus Size Casual Loose V Neck Short Sleeve Floral Printed Blouse Tops,Shirts,5.78,22,5000,28900.0,110000,0,3.6,687,287.0,128.0,92.0,68.0,112.0,41.78,18.63,13.39,9.9,16.3,0,0,0,0,beige,S,50,Livraison standard,2,0,33,50,0.0,N/A,CN,Luowei clothe,5534,3.999819298879653,5ba2251b4315d12ebce873fa
